,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,x,y,z,v_x,v_y,v_z,v_r,r
4066,1635721458409799680,Gaia DR2 1598139055756744960,1598139055756744960,507676492,2015.5,235.160458740187,0.025114989078138417,55.26673719985594,0.023739086308002942,3.854991645196324,0.02528234828642761,152.4776,8.615898456655888,0.05352355461957164,2.2629253449581985,0.053743818282138284,0.0069854259999999994,-0.34916586,-0.09723643,-0.061888865999999994,-0.013961593999999999,-0.045902982,-0.42177203,0.017934583,0.09040931599999999,0.041845936,216,216,210,6,13.691792999999999,624.59186,0.0,0.10276876600285778,31,True,224.42763,1.6985291382215582,0.007260711447125569,0.0692795,26,16,0.041744355,0,28,False,229,2965472.2562581007,770.2326900323828,3850.099,9.508131,27,1916785.4324986725,3797.26736714123,504.7802,9.644955,28,1513099.6973104875,3350.7372037020205,451.57217,9.312251,1.1566067,0,0.33270359999999993,0.13682365,0.19587994,11.088707887663672,2.302090416561227,8,6500.0,3.5,0.0,NOT_AVAILABLE,87.51534831067883,48.571102905394056,197.42274567611298,70.05355710498303,100001,7517.6665,7184.25,7695.12,,,,,,,200111,1.6549873,1.5795376,1.8121657,7.881634,7.7935886,7.96968,-8291.88244124,171.483351365,221.470248874,13.7531790879,247.554415972,8.42687028961,247.9361587229729,8293.655464215959
4947,1635721458409799680,Gaia DR2 1601000947085068160,1601000947085068160,1225823151,2015.5,228.90952133593856,0.022635514224382414,56.895496871007005,0.02068739287415746,2.1747693863459983,0.023632650296746424,92.02393000000001,-32.01695408330232,0.04777662117022855,2.2778070960848043,0.04472780061750554,-0.05212656,-0.20586568,0.16174564,-0.0973337,0.17109664,-0.082436405,-0.12958647,0.10503381,-0.20059945,-0.18459392,246,246,234,12,13.169675,640.95734,0.05798761218921915,1.5313843325794765,31,True,156.00028999999998,1.6903458122212909,0.006805370975755874,0.09603557,28,18,0.0389686,0,48,False,361,530279.8402659835,318.9011687979296,1662.8345,11.377103,43,357252.1110531291,785.0527814747476,455.06763,11.468950999999999,42,275741.4889212676,219.01134298936537,1259.0283,11.160665,1.1936973,0,0.30828667,0.09184837,0.21643829999999997,-12.250873428204686,1.0170689652884721,19,6000.0,3.5,0.0,NOT_AVAILABLE,92.36355404075807,50.80196450956989,187.0598804035043,68.79468302611117,100001,8653.0,8178.3335,8985.0,0.095,0.0179,0.217,0.036000000000000004,0.0056,0.0913,0,,,,,,,-8310.78173453,290.359032243,383.381579438,-29.8754771741,180.092809889,32.6852054774,182.55400381786072,8315.852416114825
5318,1635721458409799680,Gaia DR2 1602086302500681472,1602086302500681472,711326767,2015.5,234.780510757811,0.02171852540868813,57.831182171816494,0.02093167651629872,1.0413142552408616,0.023102719661289416,45.07323,4.895156840994637,0.039413398085287286,-21.100284203110828,0.0426107247886817,-0.13511923,-0.28280085,-0.10324436,0.26504824,0.2767405,0.14874588,-0.29182723,-0.099139,-0.2943172,-0.012284449,235,235,234,1,14.138798999999999,683.03754,0.0,0.0,31,True,338.49957,1.7327802810196884,0.006357447304926535,0.066118576,27,18,0.034490168,0,43,False,374,301857.9714165501,196.2790961120594,1537.9017,11.988859,43,199920.32253319872,386.1937276953648,517.66846,12.099246,43,156206.22221871358,465.65290847280465,335.45633,11.777674000000001,1.1797818000000002,0,0.3215723,0.11038685,0.21118546,-32.67277237120203,6.045568537205403,18,6500.0,3.5,0.0,NOT_AVAILABLE,91.08799928567728,47.608352023981006,191.4790951702789,71.74078142276933,100001,8367.25,8081.0,8649.0,,,,,,,0,,,,,,,-8309.94298309,647.328215333,736.288617016,107.058562701,193.104570929,0.0812952324811,220.79608502265467,8335.11764767114
5580,1635721458409799680,Gaia DR2 1602857335029317632,1602857335029317632,1668698782,2015.5,233.50879701361805,0.030674010525108306,58.76371144660672,0.025937392122989983,0.7667595402133053,0.025150770121160453,30.486523,3.941329334516524,0.05828432969258233,-4.890129742339617,0.04807494126516449,-0.31102282,-0.06747585,-0.56614435,0.3234486,0.18277627,0.26286435,-0.62749857,-0.23084354,-0.20308056,-0.3137729,195,195,193,2,8.087381,391.37735,0.0,0.0,31,True,272.3759,1.6910792794361873,0.006829693829459453,0.011445208,22,17,0.050755613,0,42,False,363,200886.06565531585,139.43140179823126,1440.7520000000002,12.430991,41,128318.61486286152,319.12635584374215,402.09344,12.580664,41,110758.6482929208,222.35030529461002,498.1268,12.150976,1.1901137,0,0.4296875,0.14967251,0.280015,-1.6860497222485435,1.6824714706900634,18,6500.0,3.5,-1.5,NOT_AVAILABLE,92.78130380204658,47.735055447778215,187.8259620386438,71.86291273218484,100001,7868.0,7557.21,8061.0,0.9243,0.648,1.1561,0.4547,0.3523,0.5836,200111,2.001606,1.9069067,2.1696231,13.832775,13.058595,14.606956,-8339.37928796,876.111074314,992.290799807,49.301674773,237.170429181,2.05726418077,242.24051604453112,8385.273849016967
5718,1635721458409799680,Gaia DR2 1603265490066019840,1603265490066019840,791921743,2015.5,233.53163797723246,0.022803139921870545,59.99847997029757,0.025358759499506858,1.7838426603953932,0.022284472598302216,80.04868,-7.0695517387659965,0.041079581526814096,-16.615386858553062,0.0515874298030812,-0.32006767,-0.13290239999999998,-0.32564914,0.34567353,0.020052152,0.2976447,-0.5179289,-0.10203003,-0.14194752,-0.22542465,196,196,194,2,8.130099000000001,394.13855,0.0,0.0,31,True,412.6742,1.6878915828265888,0.006191034747023376,-0.065881185,22,15,0.04497606,0,44,False,331,428118.9694850403,186.13190009714114,2300.0837,11.609454,42,269174.16561314533,259.0553899340863,1039.0603,11.776305,41,241319.93651260342,149.5243682952214,1613.9171,11.305437,1.1924118000000001,0,0.47086809999999996,0.16685104,0.30401707,-100.50824033501878,1.207199290182242,14,6500.0,3.5,0.0,NOT_AVAILABLE,94.33618010816464,47.088750078661754,184.702980225132,72.65005788572533,100001,7750.0,7454.0,8017.0,0.6847,0.397,0.8037,0.324,0.1964,0.3863,200111,1.2881489,1.203776,1.3924855,5.3930397,5.2727699999999995,5.5133095,-8327.47909983,380.591149133,437.671730785,45.9851304653,137.527673031,-39.8359086776,145.01204457989627,8336.171650154689
6294,1635721458409799680,Gaia DR2 1605374220225033984,1605374220225033984,86389374,2015.5,216.93537196224528,0.019480206681863677,53.289534878164,0.020893638345248225,0.994060867941645,0.022363833767780755,44.449482,2.0165690984311317,0.03679460914023856,-0.6308765807350569,0.04106141752537575,0.11238263,-0.10610305,-0.27628177,-0.019865166,0.15392363,-0.05552963,-0.46011958,-0.17995645,-0.19228825,0.07932260000000001,293,293,291,2,10.081186,600.1136,0.0,0.0,31,True,274.33035,1.6874274799050877,0.005651183651883926,0.13099195,33,19,0.034048986,0,45,False,395,207109.79346843227,66.31950948259801,3122.909,12.397864,44,132361.09800383318,165.5845046248319,799.3568,12.546988,44,113822.06258858215,140.6196880922713,809.4319,12.121354,1.1886601,0,0.42563343,0.14912319,0.27651024,-25.966699750903892,10.291155455879725,13,6500.0,3.5,0.0,NOT_AVAILABLE,95.23848705614184,58.350595746154426,181.28090734363232,61.449939100018284,100001,8010.5,7655.6665,8209.0,0.7637,0.3962,1.0057,0.366,0.1649,0.4983,0,,,,,,,-8345.36480151,525.649199166,883.513803761,20.9029396378,223.295049886,-17.2385674258,224.27129149560974,8361.902938373736
6520,1635721458409799680,Gaia DR2 1606111202253333376,1606111202253333376,494841912,2015.5,223.32328934405385,0.017987195405976462,53.229050004209356,0.0172270269817914,1.035824748133027,0.019852526165026592,52.17597,2.2203299868199653,0.03356507381880302,-8.876228372822201,0.033775642365227516,0.019273156,-0.22286820000000002,0.04895218,-0.05516201,0.12890632,-0.04052379,-0.40012842,-0.11310241,-0.2493373,-0.14179116,299,290,296,3,7.0849533,496.6179,0.0,0.0,31,True,268.022,1.69429295197734,0.004929439088916154,0.20118196,34,19,0.030145427000000002,0,48,False,408,196348.67688247823,47.32876026150196,4148.6123,12.455796000000001,46,123747.64420504644,130.89085398045023,945.4262,12.620046,47,109970.77156156726,61.638884540282326,1784.1136,12.158727,1.1903233999999998,0,0.46131897,0.16424942,0.29706955,-12.074045114808829,13.804388594615865,15,6500.0,3.5,-1.5,NOT_AVAILABLE,90.49945290807608,55.5351329354031,187.61139962909616,63.936841803333756,100001,7742.6665,7482.0,7941.0,0.8545,0.7072,1.0270000000000001,0.4302,0.3739,0.5128,200111,1.5047681,1.4305409,1.6114442,7.331554400000001,7.06715,7.5959587,-8302.12978496,546.306763985,822.97042677,49.7962582515,212.210682843,6.45827459919,217.97486379934932,8320.08473794743
8534,1635721458409799680,Gaia DR2 1613149210542487808,1613149210542487808,34168086,2015.5,226.37146733412587,0.3662567216682761,57.11135336339218,0.3531643410023463,2.8914368654453098,0.35448905359957245,8.156632,10.880150390500727,0.7116058852359535,-41.48607162796851,0.626601093813864,-0.35490206,-0.15177524,-0.37799835,0.36223912,0.19106996,0.3437131,-0.46411735,-0.034044187999999996,-0.31219876,-0.39648053,203,203,203,0,161.11178999999998,51815.164000000004,1.8819712283211247,1101.3876772615172,31,True,0.2552119,1.6059414115992166,0.10636632845299876,-0.19494806,23,14,0.41778177,0,52,False,405,2929536.2856917987,9792.66494584598,299.1562,9.521369,41,2073484.8867097555,3624.8325859857396,572.0223,9.559636,37,1605541.2806438678,3222.4542732376012,498.23557,9.247867,1.2558391000000002,0,0.31176950000000003,0.038267136,0.27350235,-15.153548870139215,0.6924383429540556,10,6500.0,3.5,0.0,NOT_AVAILABLE,93.9340882627648,51.79833163299377,184.0590640842305,67.93817731604169,102001,8630.0,7738.25,9619.25,,,,,,,0,,,,,,,-8313.74641417,213.379342032,298.828039,77.9410485146,206.074700325,11.900210838,220.32155853980805,8316.484244118614
8675,1635721458409799680,Gaia DR2 1613519707305660032,1613519707305660032,1145873699,2015.5,222.5172089633291,0.019839773037847952,56.9609679651451,0.020417295861020614,1.0892007794836016,0.0221146279887384,49.252502,-0.13231034900841745,0.03856159978554613,2.2593926636219512,0.04283904245495752,-0.016946398,-0.16769214,-0.26701316,0.06411525,0.01674494,0.03038333,-0.3656983,-0.07422578,-0.22997633,-0.04938493,271,271,269,2,11.563966,627.6517299999999,0.0,0.0,31,True,354.9481,1.6743015337326008,0.006032664130132182,0.0035461178000000004,31,18,0.034794177999999995,0,46,False,388,306611.6574771732,71.72644506028996,4274.7363,11.971894,41,192231.24607290933,171.9952835823241,1117.6542,12.141829,41,172210.22894837192,168.1330414379265,1024.2498,11.671773,1.1886093999999998,0,0.47005558,0.16993427,0.3001213,-19.26999857201143,5.235386241523434,16,6500.0,3.5,0.0,NOT_AVAILABLE,95.95664414756176,53.50557780918898,180.6556571255883,66.30382043238271,100001,7511.25,7255.526999999999,7616.5,0.8170000000000001,0.42100000000000004,1.1113,0.4015,0.1936,0.52,200111,1.886371,1.8345968999999998,2.0216856,10.204642,9.833758999999999,10.575525,-8354.22090499,543.088285293,765.25882012,4.08439625072,224.98894782,-11.8958721238,225.0260183485456,8371.854741632555
8829,1635721458409799680,Gaia DR2 1614038371851856896,1614038371851856896,663329266,2015.5,225.15695567180413,0.035595654847167264,58.272317751905604,0.03386367103271587,2.278421518671499,0.0371163033329848,61.386,9.83006838192046,0.06863701705746443,-1.5109002534349896,0.06063515119475174,-0.12351678,-0.22986539,-0.049594373,0.2870973,0.3799245,0.21009786,-0.37656355,-0.07203564,-0.26479295,-0.036949214,132,132,130,2,8.961433999999999,325.71,0.0,1.2536278614767036e-15,31,True,256.6558,1.7030950498555022,0.0110278489363238,0.059007305999999995,15,13,0.046060134,0,23,True,177,1204440.705826763,540.7047350106153,2227.5386,10.486403,20,772900.5564588462,1091.085330004091,708.37775,10.631079,21,633812.7850352369,1065.4848575941712,594.8586,10.257017,1.1679391000000001,1,0.37406158,0.14467621,0.22938538,-5.966173501224736,1.80822908050827,8,6500.0,3.5,0.0,NOT_AVAILABLE,96.05009282981293,51.57833909369174,180.58274853891396,68.23169098435784,100002,7574.0,7420.733,7888.0,0.5887,0.4007,0.779,0.2848,0.2019,0.3866,200111,1.7608143,1.623418,1.8343009,9.192276,8.968301,9.416250999999999,-8327.58509396,271.232313593,370.952302429,25.8084039695,240.810690468,-5.94027425876,242.18972389300527,8332.000988062493
